year,species,origin,cult_start,no_parents,endpoint,factor,tank,tank_rep,settle_date,assess_date,settle_time,inducer,rep,suc,tot,partial_meta,attempt_meta,photo,comments,use_in_model,reason_for_exclusion
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,FSW,16,0,10,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,FSW,17,0,15,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,FSW,18,0,14,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,FSW,19,0,14,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,FSW,20,0,14,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,FSW,21,0,14,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,FSW,22,0,11,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,FSW,23,0,12,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,FSW,24,0,13,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,1,16,16,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,2,20,20,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,3,14,14,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,4,19,19,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,5,13,14,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,6,13,13,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,7,27,27,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,8,12,12,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,9,15,15,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,10,15,15,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,11,14,14,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,12,14,14,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,13,15,15,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,14,15,15,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,15,11,11,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,16,12,13,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,17,11,12,1?,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,18,14,14,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,19,13,13,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,20,15,16,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,21,13,13,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,22,13,13,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,23,14,14,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,24,13,13,0,0,No,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,M,MN_06,1,18/11/2022,19/11/2022,12/01/1900,FSW,1,0,13,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,M,MN_06,1,18/11/2022,19/11/2022,12/01/1900,FSW,2,0,10,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,M,MN_06,1,18/11/2022,19/11/2022,12/01/1900,FSW,3,0,13,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,M,MN_06,1,18/11/2022,19/11/2022,12/01/1900,FSW,4,0,12,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,M,MN_06,1,18/11/2022,19/11/2022,12/01/1900,FSW,5,0,13,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,M,MN_06,1,18/11/2022,19/11/2022,12/01/1900,FSW,6,0,11,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,M,MN_06,1,18/11/2022,19/11/2022,12/01/1900,FSW,7,0,10,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,M,MN_06,1,18/11/2022,19/11/2022,12/01/1900,FSW,8,0,11,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,M,MN_06,1,18/11/2022,19/11/2022,12/01/1900,FSW,9,0,13,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,M,MN_06,1,18/11/2022,19/11/2022,12/01/1900,FSW,10,0,13,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,M,MN_06,1,18/11/2022,19/11/2022,12/01/1900,FSW,11,0,12,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,M,MN_06,1,18/11/2022,19/11/2022,12/01/1900,FSW,12,0,12,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,M,MN_06,1,18/11/2022,19/11/2022,12/01/1900,FSW,13,0,12,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,M,MN_06,1,18/11/2022,19/11/2022,12/01/1900,FSW,14,0,11,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,M,MN_06,1,18/11/2022,19/11/2022,12/01/1900,FSW,15,0,11,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
