year,species,origin,cult_star,no_parents,endpoint,factor,tank,tank_rep,assess_date,larval_age,rep,vol_sampl,vol_conc,vol_subsampl,L_counted,L_total_sampl,density,L_tank_total,comments,use_in_model,reason_for_exclusion
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_08,2,18/11/2022,5,3,131,131,131,79,79,0.6,51260,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,13/12/2022,1,1,500,40,3,11,147,0.29,24933,Already swimming larvae! Some weird and broken larvae.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,13/12/2022,1,2,500,40,3,25,333,0.67,56667,Already swimming larvae! Some weird and broken larvae.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,13/12/2022,1,3,500,40,3,21,280,0.56,47600,Already swimming larvae! Some weird and broken larvae.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,13/12/2022,1,4,500,40,3,23,307,0.61,52133,Already swimming larvae! Some weird and broken larvae.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,13/12/2022,1,5,500,40,3,23,307,0.61,52133,Already swimming larvae! Some weird and broken larvae.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,13/12/2022,1,6,500,40,3,18,240,0.48,40800,Already swimming larvae! Some weird and broken larvae.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,14/12/2022,2,1,500,30,3,17,170,0.34,28900,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,14/12/2022,2,2,500,30,3,21,210,0.42,35700,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,14/12/2022,2,3,500,30,3,26,260,0.52,44200,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,14/12/2022,2,4,500,30,3,18,180,0.36,30600,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,14/12/2022,2,5,500,30,3,21,210,0.42,35700,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,14/12/2022,2,6,500,30,3,26,260,0.52,44200,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,15/12/2022,3,1,500,30,3,44,440,0.88,74800,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,15/12/2022,3,2,500,30,3,36,360,0.72,61200,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,15/12/2022,3,3,500,30,3,10,100,0.2,17000,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,15/12/2022,3,4,500,30,3,21,210,0.42,35700,,Yes,NA
